invocation,latency_ms,status
1,47.808874980546534,500
2,52.74020798970014,500
3,41.280708042904735,500
4,40.00608396017924,500
5,36.96970798773691,500
6,39.88679201574996,500
7,34.393667010590434,500
8,38.57958398293704,500
9,41.25016700709239,500
10,36.06116696028039,500
11,35.336416971404105,500
12,39.49358296813443,500
13,35.08554201107472,500
14,41.3869580370374,500
15,33.04641600698233,500
